MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,LBase_P2P,LBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
86,1,3,200,0.782623291,19.85816956,0.675201416,51.84295654,0.44,0.499,2.075,1,1,0,0,100,0,1,0
87,1,4,500,1.036376953,14.87617493,0.690155029,48.66447449,0.501,1.016,2.692,1,1,0,0,100,0,1,0
88,1,1,200,1.38168335,22.30506897,0.768890381,49.75097656,0.072,0.65,2.089,1,1,0,0,100,0,1,0
89,1,3,200,0.353546143,7.339477539,0.325012207,18.49197388,0.182,0.681,2.2,1,1,0,0,100,0,1,0
90,1,4,500,0.138092041,3.656311035,0.073394775,11.04118347,0.554,0.944,2.326,1,1,0,0,100,0,1,0
91,1,1,200,0.029449463,2.823486328,0.042724609,10.82321167,0.474,1.088,2.623,0,1,0,0,100,0,1,0
92,1,3,500,1.187286377,22.76870728,0.975189209,70.2961731,0.781,1.495,2.494,1,1,0,0,100,0,1,0
93,1,4,500,0.306396484,8.680343628,0.214385986,12.84072876,0.495,1.866,2.348,1,1,0,0,100,0,1,0
94,1,1,200,3.801116943,28.04298401,0.431365967,34.45854187,0.669,2.376,2.056,1,1,0,0,100,0,1,0
95,1,3,500,0.805206299,17.50297546,0.772705078,47.60398865,0.552,2.943,1.254,1,1,1,1,100,0,1,0
96,1,4,200,0.401611328,9.751434326,0.517883301,34.35272217,0.451,2.404,1.571,1,1,1,1,100,0,1,0
97,1,1,200,0.841522217,13.98246765,0.725860596,56.97937012,0.436,2.164,1.558,1,1,1,1,100,0,1,0
98,1,3,500,0.08895874,3.249053955,0.043792725,10.9046936,0.417,2.227,1.725,1,1,0,0,100,0,1,0
99,1,4,200,4.66003418,46.88369751,0.297088623,26.12373352,0.745,2.178,1.649,1,1,0,0,100,0,1,0
100,1,1,500,0.644836426,13.49609375,0.487976074,40.25184631,1.157,5.624,1.144,1,1,1,1,100,0,1,0
101,1,3,500,0.064086914,3.215866089,0.144500732,12.72377014,1.099,4.035,1.284,1,1,1,1,100,0,1,0
102,1,4,200,1.207122803,18.47801208,0.567932129,30.050354,0.897,2.778,0.648,1,1,1,1,100,0,1,0
103,1,1,500,0.573120117,14.25834656,1.279907227,57.63671875,0.674,2.946,0.508,1,1,1,1,100,0,1,0
104,1,3,200,0.167999268,5.109329224,0.119781494,12.80830383,0.554,1.855,-0.039,1,1,1,1,100,0,1,0
105,1,4,200,0.115509033,3.787765503,0.057678223,11.12487793,0.689,2.315,0.173,1,1,0,0,100,0,1,0
106,1,1,500,0.033721924,2.834243774,0.043029785,10.83641052,0.846,2.693,0.38,1,1,0,0,100,0,1,0
107,1,3,200,4.259796143,37.86003113,0.607299805,43.81904602,1.061,3.192,0.378,1,1,0,0,100,0,1,0
108,1,4,500,1.109466553,23.08029175,0.780792236,61.08703613,0.671,3.435,0.68,1,1,0,0,100,0,1,0
109,1,1,500,0.715789795,17.26272583,0.896911621,67.83218384,0.861,4.47,0.302,1,1,0,0,100,0,1,0
110,1,3,200,1.045074463,19.47105408,0.875244141,74.39910889,0.447,3.909,1.037,1,1,0,0,100,0,1,0
111,1,4,500,1.251983643,24.43603516,1.041564941,93.76815796,0.81,2.492,1.216,1,1,0,0,100,0,1,0
112,1,1,200,1.598052979,29.12742615,1.163482666,105.2223206,0.714,3.894,1.808,1,1,0,0,100,0,1,0
113,1,3,200,1.958312988,44.61807251,1.853179932,143.6079407,0.953,2.71,1.916,1,1,0,0,100,0,1,0
114,1,4,500,1.647949219,32.20565796,1.420593262,120.6218719,0.531,4.1,1.583,1,1,0,0,100,0,1,0
115,1,1,200,1.904296875,36.42105103,1.632995605,130.5106354,0.855,4.472,2.44,1,1,0,0,100,0,1,0
116,1,3,500,2.003631592,30.52574158,1.312103271,123.0609131,0.234,2.449,3.624,1,1,0,0,100,0,1,0
117,1,4,500,2.051696777,44.3875885,1.630249023,144.3553925,0.376,3.038,3.833,1,1,0,0,100,0,1,0
118,1,1,200,1.818847656,40.27496338,1.527709961,137.2226715,0.767,3.486,4.246,1,1,0,0,100,0,1,0
119,1,3,500,2.320861816,38.37516785,1.573028564,137.1099854,0.529,5.481,5.488,1,1,0,0,100,0,1,0
120,1,4,200,1.960144043,37.16423035,1.286468506,118.6212921,0.748,4.354,5.152,1,1,0,0,100,0,1,0
121,1,1,200,1.728057861,32.73353577,1.284790039,104.7364044,0.732,4.82,6.293,0,1,0,0,100,0,1,0
122,1,3,500,2.146759033,39.1619873,1.583709717,131.7372131,0.782,3.121,6.74,1,1,0,0,100,0,1,0
123,1,4,200,1.411590576,28.98292542,1.210021973,106.6718292,1.149,3.236,6.697,1,1,0,0,100,0,1,0
124,1,1,500,1.165924072,29.51026917,1.108856201,100.7457733,0.504,5.054,3.521,1,1,0,0,100,0,1,0
125,1,3,500,0.191497803,4.331817627,0.09765625,12.14912415,0.43,0.975,0.364,1,1,0,0,100,0,1,0
126,1,4,200,0.177764893,4.654312134,0.062866211,10.92308044,0.586,1.47,-0.003,1,1,0,0,100,0,1,0
127,1,1,500,0.102996826,3.392868042,0.043182373,10.87516785,0.638,2.08,0.438,1,1,0,0,100,0,1,0
128,1,3,200,0.810089111,13.49868774,0.488739014,42.71903992,1.597,2.114,0.843,1,1,0,0,100,0,1,0
129,1,4,200,0.283660889,5.747299194,0.084381104,11.39266968,1.217,2.705,-0.353,1,1,0,0,100,0,1,0
130,1,1,500,1.506195068,28.67500305,0.603485107,40.43228149,0.982,3.607,-0.36,1,1,1,1,100,0,1,0
131,1,3,200,0.767822266,17.7961731,0.662078857,50.15777588,0.794,3.26,-0.291,1,1,1,1,100,0,1,0
132,1,4,500,0.947265625,22.68081665,0.846405029,60.1272583,0.931,3.723,0.108,1,1,1,1,100,0,1,0
133,1,1,500,1.434326172,23.39897156,0.834503174,64.94483948,1.312,4.044,0.284,1,1,1,1,100,0,1,0
134,1,3,200,1.030273438,19.30992126,0.749664307,50.80566406,1.012,3.268,-0.629,1,1,1,1,100,0,1,0
135,1,4,500,1.261444092,25.98114014,0.843353271,70.25566101,1.018,3.397,-0.321,1,1,0,0,100,0,1,0
136,1,1,200,0.905456543,20.8644104,0.976409912,77.0463562,0.883,2.532,-1.134,1,1,0,0,100,0,1,0
137,1,3,200,1.308746338,23.36662292,0.941467285,78.76747131,0.845,3.366,-0.369,1,1,0,0,100,0,1,0
138,1,4,500,0.043640137,2.945022583,3.655700684,54.35073853,0.635,3.343,-0.645,1,1,0,0,100,0,1,0
139,1,1,200,0.103302002,3.312072754,0.043640137,10.93162537,1.268,3.437,-0.5,1,1,0,0,100,0,1,0
140,1,3,500,1.515960693,31.37390137,1.117553711,94.64202881,0.672,3.393,-0.377,1,1,0,0,100,0,1,0
141,1,4,500,1.15020752,26.55174255,1.029968262,84.98291016,0.855,4.259,0.303,1,1,0,0,100,0,1,0
142,1,1,200,1.404571533,24.93515015,0.919952393,78.44589233,1.094,4.661,-0.757,1,1,0,0,100,0,1,0
143,1,3,500,0.026092529,2.855377197,0.043945313,10.911026,0.615,2.61,-1.459,1,1,0,0,100,0,1,0
144,1,4,200,0.783691406,19.96505737,0.792541504,70.19386292,0.482,3.586,-0.708,1,1,0,0,100,0,1,0
145,1,1,200,0.710144043,15.19332886,0.755004883,58.05229187,1.311,3.515,-0.434,1,1,0,0,100,0,1,0
146,1,3,500,0.649871826,16.00944519,0.592041016,51.6658783,0.752,3.193,0.041,1,1,0,0,100,0,1,0
147,1,4,200,0.699768066,12.62748718,0.568847656,48.49388123,0.528,3.412,-0.249,1,1,0,0,100,0,1,0
148,1,1,500,0.081176758,3.174743652,0.0440979,10.92956543,1.015,3.248,-0.338,1,1,0,0,100,0,1,0
149,1,3,500,0.777282715,19.62516785,0.625457764,47.54348755,0.739,3.464,-0.264,1,1,0,0,100,0,1,0
150,1,4,200,3.143920898,65.20423889,1.118621826,87.62512207,0.453,0.532,1.088,1,1,1,0,100,0,1,0
151,1,1,500,0.652770996,10.75431824,0.131530762,12.32917786,0.61,1.532,0.608,0,1,1,0,100,0,1,0
152,1,3,200,1.522827148,27.27790833,0.966186523,56.40205383,0.695,2.397,0.278,1,1,1,1,100,0,1,0
153,1,4,200,1.195526123,18.04077148,0.789031982,50.92124939,0.646,2.42,0.598,1,1,1,1,100,0,1,0
154,1,1,500,1.288909912,25.7447052,1.103668213,81.62597656,0.408,1.905,0.976,1,1,0,0,100,0,1,0
155,1,3,200,1.387023926,29.7026062,1.139678955,87.72651672,0.639,1.888,0.793,1,1,0,0,100,0,1,0
156,1,4,500,1.559143066,35.4611969,1.504058838,114.3108368,0.155,2.097,-0.748,1,1,0,0,100,0,1,0
157,1,1,500,0.029754639,2.837905884,0.043640137,10.90301514,0.337,2.374,-0.155,1,1,0,0,100,0,1,0
158,1,3,200,1.391296387,23.67446899,0.824890137,71.16317749,0.489,2.575,0.411,1,1,0,0,100,0,1,0
159,1,4,500,1.256256104,23.62586975,1.049041748,92.07366943,0.431,2.663,0.445,1,1,0,0,100,0,1,0
160,1,1,200,1.940307617,47.27729797,1.779174805,140.5362701,0.495,2.657,-0.014,1,1,0,0,100,0,1,0
161,1,3,200,2.099609375,30.34080505,1.222381592,103.806076,0.833,2.81,0.305,1,1,0,0,100,0,1,0
