MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,SBase_P2P,SBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
91,1,1,200,0.029449463,2.823486328,0.043640137,1.090240479,0.474,1.088,2.623,0,1,0,0,100,0,1,0
92,1,3,500,1.187286377,22.76870728,0.879058838,9.002227783,0.781,1.495,2.494,1,1,0,0,100,0,1,0
93,1,4,500,0.306396484,8.680343628,0.075378418,1.22718811,0.495,1.866,2.348,1,1,0,0,100,0,1,0
94,1,1,200,3.801116943,28.04298401,0.324554443,2.756347656,0.669,2.376,2.056,1,1,0,0,100,0,1,0
95,1,3,500,0.805206299,17.50297546,0.439300537,5.868911743,0.552,2.943,1.254,1,1,1,1,100,0,1,0
96,1,4,200,0.401611328,9.751434326,0.232849121,2.763900757,0.451,2.404,1.571,1,1,1,1,100,0,1,0
97,1,1,200,0.841522217,13.98246765,0.70098877,8.048248291,0.436,2.164,1.558,1,1,1,1,100,0,1,0
98,1,3,500,0.08895874,3.249053955,0.043792725,1.095657349,0.417,2.227,1.725,1,1,0,0,100,0,1,0
99,1,4,200,4.66003418,46.88369751,0.172424316,2.291107178,0.745,2.178,1.649,1,1,0,0,100,0,1,0
100,1,1,500,0.644836426,13.49609375,0.340118408,3.137054443,1.157,5.624,1.144,1,1,1,1,100,0,1,0
101,1,3,500,0.064086914,3.215866089,0.043945313,1.103439331,1.099,4.035,1.284,1,1,1,1,100,0,1,0
102,1,4,200,1.207122803,18.47801208,0.142974854,1.792449951,0.897,2.778,0.648,1,1,1,1,100,0,1,0
103,1,1,500,0.573120117,14.25834656,1.002197266,11.30004883,0.674,2.946,0.508,1,1,1,1,100,0,1,0
104,1,3,200,0.167999268,5.109329224,0.047302246,1.0987854,0.554,1.855,-0.039,1,1,1,1,100,0,1,0
105,1,4,200,0.115509033,3.787765503,0.045471191,1.110687256,0.689,2.315,0.173,1,1,0,0,100,0,1,0
